"A Stout",,,,
"Chris Watt",,,,
"D Darby",,,,
"FE Hayden",,,,
"Francis Hayden",,,,
"Gail Coleshill","Q98553934","2010 United Kingdom general election","North East Somerset","Liberal Democrats"
"Geoffrey Parkes",,,,
"Ian White",,,,
"Jeff Manning",,,,
"Kevin Clinton",,,,
"L Williams",,,,
"Peter House",,,,
"Peter Sandell","Q98544511","2010 United Kingdom general election","North East Somerset","UK Independence Party"
"Richard Denton-White",,,,
"Roger Blackmore",,,,
"Sue Lincoln",,,,
"T.S. Hunt",,,,
