foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q5214105,Dan Norris,Q9630,Labour Party (UK),20686,Q428598,General election 2005,1
,,Chris Watt,Q9626,Conservative Party (UK),18847,Q428598,General election 2005,2
Q98553934,,Gail Coleshill,Q9624,Liberal Democrats (UK),10050,Q428598,General election 2005,3
Q98544511,,Peter Sandell,Q10647,United Kingdom Independence Party,1129,Q428598,General election 2005,4
,,Geoffrey Parkes,Q327591,Independent (politician),221,Q428598,General election 2005,5
,Q5214105,Dan Norris,Q9630,Labour Party (UK),23206,Q590740,General election 2001,1
,,Chris Watt,Q9626,Conservative Party (UK),17593,Q590740,General election 2001,2
Q98553934,,Gail Coleshill,Q9624,Liberal Democrats (UK),7135,Q590740,General election 2001,3
,,Francis Hayden,Q9669,Green Party of England and Wales,958,Q590740,General election 2001,4
Q98544511,,Peter Sandell,Q10647,United Kingdom Independence Party,655,Q590740,General election 2001,5
,Q5214105,Dan Norris,Q9630,Labour Party (UK),24117,Q918503,General election 1997,1
,Q575205,Mark Prisk,Q9626,Conservative Party (UK),19318,Q918503,General election 1997,2
,,Jeff Manning,Q9624,Liberal Democrats (UK),9205,Q918503,General election 1997,3
,,Kevin Clinton,Q278315,Referendum Party,1327,Q918503,General election 1997,4
,,T.S. Hunt,Q10647,United Kingdom Independence Party,438,Q918503,General election 1997,5
,,Peter House,Q1421227,Official Monster Raving Loony Party,225,Q918503,General election 1997,6
,,Sue Lincoln,Q491782,Natural Law Party,92,Q918503,General election 1997,7
,Q13529787,Jack Aspinwall,Q9626,Conservative Party (UK),31389,Q543609,General election 1992,1
,Q5214105,Dan Norris,Q9630,Labour Party (UK),18048,Q543609,General election 1992,2
,,D Darby,Q9624,Liberal Democrats (UK),14834,Q543609,General election 1992,3
,,FE Hayden,Q9669,Green Party of England and Wales,800,Q543609,General election 1992,4
,Q13529787,Jack Aspinwall,Q9626,Conservative Party (UK),31537,Q918472,General election 1987,1
,,Roger Blackmore,Q622441,Liberal Party (UK),15393,Q918472,General election 1987,2
,,Ian White,Q9630,Labour Party (UK),14231,Q918472,General election 1987,3
,Q13529787,Jack Aspinwall,Q9626,Conservative Party (UK),28434,Q918466,General election 1983,1
,,Richard Denton-White,Q622441,Liberal Party (UK),15368,Q918466,General election 1983,2
,,L Williams,Q9630,Labour Party (UK),12168,Q918466,General election 1983,3
,,A Stout,Q7984149,Wessex Regionalist Party,213,Q918466,General election 1983,4
